,top_3,top_5,top_7,top_9
5224216,"(24.91306637780991, 6.099096306133693e-107)","(32.0598380745012, 1.19244785904922e-155)","(31.0996572872464, 4.708000910158979e-149)","(20.800624205980146, 3.9895932558789125e-80)"
6054561,"(1.5484435373542047, 0.12183226114407827)","(-8.852503078425613, 3.829534988164071e-18)","(-19.034896883002155, 3.6054298320214846e-69)","(-23.012062257529884, 2.322654165156433e-94)"
4751578,"(16.07599237308009, 6.814720934310846e-52)","(20.972120956409967, 3.2785097890880425e-81)","(20.159079236388187, 4.256784311038992e-76)","(12.118992376325206, 1.2305691036433307e-31)"
4342854,"(-4.400665180034635, 1.195180431622567e-05)","(-6.743177725390218, 2.6176073268030628e-11)","(-10.90813765495432, 2.9761815446295566e-26)","(-13.208360039483388, 7.8866259678068e-37)"
