,top_3,top_5,top_7,top_9
5224216,,,,
6054561,,,,
4751578,"(22.587010878240626, 1.378868104274793e-91)","(17.659849630383047, 5.947627468674461e-61)","(11.837223311036615, 2.4020300833687756e-30)","(8.586051199463636, 3.410087509721024e-17)"
4342854,"(-1.7293274231035898, 0.08405942033059403)","(5.565153931466255, 3.36400222945562e-08)","(10.0291739091694, 1.2778948732826632e-22)","(14.147895460257613, 1.4857888394424328e-41)"
