patent_id,Unnamed: 0,Unnamed: 0.1,text
4965079,0,0,"[u'sterilize', u'thicken', u'hermetic', u'ferment', u'sterilized', u'streptococcus', u'lactobacillus', u'fermented', u'697', u'mpa', u'packaging', u'creamy', u'003', u'pasteurized', u'pack', u'comprise', u'225', u'wherein', u'least', u'suspension', u'packed', u'group', u'accord', u'viscosity', u'consistency', u'aqueous', u'include', u'content', u'solid', u'rope', u'fat', u'matter', u'62', u'product', u'strain', u'consist', u'select', u'ph', u'42', u'combination', u'claim', u'adjust', u'1', u'c', u'45', u'68', u'minute', u'2', u'8', u'milk', u'7', u'65', u'obtain', u'dry', u'protein', u'hour', u'sugar', u'6', u'10', u'temperature', u'16', u'process', u'60', u'15', u'weight', u'14', u'5', u'provide', u'agent']"
4488717,1,1,"[u'eject', u'effectuate', u'selectively', u'engagement', u'scan', u'vertically', u'comprise', u'scanning', u'also', u'one', u'reversible', u'first', u'push', u'whereby', u'desire', u'directly', u'relative', u'include', u'adjacent', u'feed', u'substantially', u'place', u'drive', u'common', u'drop', u'device', u'operative', u'locate', u'movement', u'hand', u'horizontal', u'onto', u'second', u'leave', u'transport', u'move', u'receive', u'associate', u'claim', u'say', u'mean', u'system', u'arm', u'1', u'position', u'bed', u'plane', u'away', u'11', u'8', u'along', u'continue', u'define', u'support', u'raise', u'toward', u'15', u'control', u'engage', u'4', u'motion', u'provide', u'lower']"
5034160,2,2,"[u'applicator', u'polystyrene', u'bead', u'shred', u'extruded', u'05', u'08', u'gypsum', u'subjecting', u'micron', u'silicate', u'wt', u'acoustical', u'binder', u'insulation', u'01', u'pcf', u'005', u'granular', u'particulate', u'impart', u'02', u'compose', u'resultant', u'fibrous', u'spray', u'porous', u'comprise', u'plaster', u'present', u'cubic', u'shear', u'dispersion', u'wherein', u'wet', u'cement', u'addition', u'least', u'251', u'exhibit', u'upon', u'thereof', u'particle', u'infrastructure', u'inorganic', u'bulk', u'group', u'aggregate', u'fiber', u'viscosity', u'magnesium', u'apply', u'great', u'aqueous', u'form', u'clay', u'content', u'density', u'ratio', u'initial', u'material', u'alone', u'35', u'consist', u'90', u'pound', u'72', u'select', u'composition', u'foot', u'organic', u'cause', u'application', u'combination', u'component', u'claim', u'say', u'adjust', u'1', u'0', u'44', u'40', u'construction', u'distribution', u'size', u'70', u'generate', u'2', u'metal', u'80', u'11', u'average', u'12', u'8', u'13', u'expand', u'high', u'7', u'force', u'17', u'dry', u'le', u'55', u'property', u'6', u'25', u'10', u'16', u'process', u'30', u'mixture', u'60', u'glass', u'20', u'water', u'75', u'15', u'weight', u'4', u'50', u'5', u'provide', u'3', u'agent', u'amount', u'vol', u'increase', u'per', u'percent']"
4630615,3,3,"[u'comparator', u'millisecond', u'juxtaposed', u'schmitt', u'timer', u'converter', u'microprocessor', u'volt', u'rom', u'anode', u'comprising', u'trigger', u'correlate', u'capacitor', u'comprise', u'present', u'impedance', u'generating', u'amplifier', u'neural', u'one', u'cathode', u'stimulating', u'wherein', u'time', u'reference', u'counting', u'connect', u'another', u'whereby', u'sampling', u'pulse', u'connection', u'absolute', u'accord', u'apparatus', u'400', u'great', u'port', u'number', u'comparing', u'include', u'body', u'cord', u'count', u'place', u'current', u'change', u'spinal', u'slowly', u'improvement', u'magnitude', u'power', u'begin', u'load', u'contact', u'type', u'tissue', u'value', u'measuring', u'second', u'require', u'claim', u'say', u'generation', u'mean', u'1', u'negative', u'0', u'carry', u'charge', u'couple', u'generate', u'supply', u'rate', u'lead', u'circuit', u'duration', u'2', u'80', u'compare', u'constant', u'7', u'source', u'input', u'6', u'adapt', u'voltage', u'output', u'sample', u'approximately', u'100', u'control', u'5', u'increase', u'per', u'period']"
4866997,4,4,"[u'affix', u'outwardly', u'calibrate', u'intersecting', u'diverge', u'longitudinally', u'ohmmeter', u'compacted', u'fixedly', u'telescopic', u'environs', u'collapsible', u'hinge', u'affixed', u'thermistor', u'therefrom', u'flap', u'kernel', u'comprising', u'fin', u'lock', u'comprise', u'insert', u'orient', u'situ', u'probe', u'one', u'compact', u'wherein', u'swing', u'shaft', u'meter', u'least', u'digital', u'first', u'point', u'upon', u'thereof', u'attach', u'element', u'run', u'communicating', u'automatically', u'grain', u'disposed', u'end', u'withdrawn', u'either', u'expanded', u'include', u'close', u'substantially', u'tip', u'respect', u'thereby', u'longitudinal', u'display', u'parallel', u'dispose', u'movement', u'store', u'rigid', u'closing', u'characteristic', u'chamber', u'second', u'within', u'receive', u'claim', u'say', u'mean', u'closer', u'1', u'relationship', u'axis', u'position', u'extended', u'45', u'measure', u'opening', u'receiving', u'9', u'couple', u'environmental', u'flow', u'lateral', u'third', u'fully', u'away', u'2', u'cover', u'opposite', u'12', u'restrict', u'open', u'expand', u'along', u'external', u'direction', u'define', u'less', u'closed', u'le', u'6', u'10', u'temperature', u'determine', u'pair', u'side', u'sample', u'15', u'4', u'degree', u'length', u'5', u'subsection']"
4980848,5,5,"[u'apertures', u'planar', u'upwardly', u'circuitry', u'movable', u'therefrom', u'aperture', u'vent', u'plurality', u'portable', u'comprise', u'spaced', u'configuration', u'lid', u'also', u'one', u'wherein', u'least', u'defines', u'video', u'thereof', u'whereby', u'attach', u'part', u'cool', u'vertical', u'may', u'dimension', u'mount', u'battery', u'generally', u'include', u'close', u'keyboard', u'view', u'substantially', u'additional', u'central', u'board', u'drive', u'separate', u'visual', u'permit', u'display', u'disk', u'parallel', u'forward', u'processing', u'construct', u'bottom', u'rectangular', u'access', u'relatively', u'memory', u'component', u'across', u'claim', u'say', u'thickness', u'area', u'1', u'position', u'upper', u'project', u'assembly', u'base', u'flow', u'thin', u'unit', u'top', u'contain', u'circuit', u'space', u'cover', u'behind', u'open', u'7', u'define', u'less', u'rear', u'low', u'support', u'contains', u'10', u'wall', u'computer', u'immediately', u'process', u'entire', u'major', u'extend', u'side', u'electrical', u'produce', u'control', u'provide', u'air', u'heat', u'portion']"
4299371,6,6,"[u'plunger', u'retainer', u'roller', u'float', u'pin', u'comprise', u'one', u'wherein', u'ring', u'thereto', u'part', u'secure', u'relation', u'finish', u'communicating', u'ball', u'therein', u'plate', u'end', u'use', u'form', u'include', u'stop', u'rotation', u'head', u'contact', u'cavity', u'travel', u'communication', u'claim', u'say', u'mean', u'half', u'1', u'shoulder', u'position', u'upper', u'assembly', u'carry', u'receiving', u'2', u'space', u'opposite', u'prevent', u'open', u'7', u'shape', u'low', u'6', u'neck', u'engage', u'portion']"
5118608,7,7,"[u'grate', u'specie', u'monochromatic', u'sinusoidal', u'polyester', u'grating', u'acrylic', u'polymeric', u'curable', u'comprises', u'predetermined', u'lamellar', u'plurality', u'comprise', u'synthetic', u'assay', u'wherein', u'diffraction', u'least', u'bind', u'qualitative', u'125', u'refractive', u'biochemical', u'thereto', u'substrate', u'profile', u'part', u'zone', u'mutually', u'coat', u'order', u'partner', u'biological', u'suppress', u'bound', u'use', u'form', u'single', u'include', u'view', u'layer', u'light', u'plastic', u'change', u'different', u'result', u'material', u'specific', u'index', u'enzyme', u'transmission', u'dispose', u'quantitative', u'contact', u'antibody', u'band', u'binding', u'wavelength', u'onto', u'antigen', u'angle', u'claim', u'say', u'normal', u'1', u'two', u'measure', u'plane', u'2', u'12', u'technique', u'7', u'organism', u'detection', u'16', u'surface', u'determine', u'sample', u'glass', u'chemical', u'capable', u'14', u'range', u'4', u'exceed', u'article']"
4829490,8,8,"[u'invert', u'datum', u'nullify', u'superimpose', u'selectively', u'analogue', u'reverberation', u'elapse', u'comprises', u'unwanted', u'transducer', u'predetermined', u'converge', u'scan', u'comprising', u'modifying', u'correlate', u'plurality', u'simulate', u'collectively', u'comprise', u'translate', u'present', u'retrieve', u'temporarily', u'combining', u'envelope', u'combined', u'time', u'cancel', u'reference', u'initially', u'least', u'digital', u'electronics', u'aforesaid', u'first', u'subsequent', u'connect', u'thereafter', u'whereby', u'successive', u'may', u'shift', u'whose', u'relation', u'connection', u'relate', u'approximate', u'indicative', u'method', u'gate', u'threshold', u'operating', u'use', u'form', u'decay', u'set', u'include', u'signal', u'substantially', u'free', u'respect', u'independent', u'lie', u'monitoring', u'attributable', u'different', u'result', u'monitor', u'operate', u'presence', u'magnitude', u'sequence', u'background', u'processing', u'transmission', u'interval', u'occurrence', u'enable', u'movement', u'store', u'combine', u'value', u'storage', u'respective', u'derive', u'together', u'second', u'modify', u'effect', u'likely', u'amplitude', u'interest', u'combination', u'contribution', u'within', u'component', u'associate', u'claim', u'say', u'mean', u'convert', u'system', u'noise', u'1', u'eliminate', u'absence', u'position', u'contribute', u'distribution', u'step', u'response', u'inherent', u'contain', u'compare', u'restrict', u'constant', u'source', u'prior', u'investigate', u'input', u'towards', u'process', u'output', u'applied', u'determine', u'prevailing', u'electrical', u'produce', u'correspond', u'control', u'range', u'4', u'provide', u'exceed', u'level', u'amount', u'increase', u'associated', u'portion']"
4800782,9,9,"[u'affix', u'integrally', u'washer', u'actuator', u'clutch', u'disengagement', u'rotational', u'rotate', u'accessory', u'brake', u'engagement', u'comprising', u'planetary', u'electromechanical', u'gear', u'axial', u'plurality', u'slide', u'hydraulic', u'comprise', u'anda', u'one', u'fix', u'bias', u'wherein', u'shaft', u'cone', u'way', u'first', u'ring', u'thereof', u'compatible', u'planet', u'engine', u'bearing', u'work', u'end', u'form', u'set', u'bear', u'carrier', u'rotation', u'firm', u'thrust', u'transmission', u'movement', u'second', u'spring', u'opposition', u'associate', u'allow', u'claim', u'say', u'mean', u'1', u'position', u'cover', u'restrict', u'along', u'force', u'sun', u'direction', u'input', u'support', u'surface', u'output', u'toward', u'engage', u'capable', u'provide', u'3', u'earlier', u'portion']"
