,patent_id,scores_max,scores_avg
0,6221571,0.8714293414998153,0.3658129760400718
1,6166583,0.8901270445301945,0.4926487552377689
2,6237049,0.8710204485213402,0.6001869925983967
3,5282102,0.8901270445301945,0.5258354697418718
4,6444559,0.8731097920245496,0.42664253170155836
5,5772187,0.8901270445301945,0.5127863037206536
6,6014007,0.8944302108685076,0.43607844936456225
7,6119292,0.8901270445301945,0.5104708691649782
8,5444741,0.8668925228578634,0.5231234069498019
9,6743192,0.8625897195412513,0.5870945683809178
10,6361124,0.8944302108685076,0.4641694593274935
11,5515336,0.8642935784301251,0.5700790497057024
12,6813254,0.8901270445301945,0.5212566181419592
13,6671247,0.8901270445301945,0.5039105836694929
14,5087115,0.8607390321173822,0.290660677397165
15,6090553,0.8901270445301945,0.41414259684693927
16,6031849,0.8729652620338911,0.5375240583898189
17,6176998,0.8501681725522294,0.48411500377673344
18,5569394,0.8625897195412513,0.4462972376579371
19,5596836,0.8625897195412513,0.5195344170361572
20,6195202,0.8901270445301945,0.5470551869936189
21,6280882,0.8901270445301945,0.37069854942486224
22,6686930,0.8944302108685076,0.5425928417978746
23,6535470,0.8901270445301945,0.660193881752597
24,6421936,0.8625897195412513,0.5500289844587976
25,5347529,0.8983178796273339,0.4584008446010788
26,5334587,0.8625897195412513,0.4014928450779773
27,6091343,0.8729652620338911,0.4844041603539783
28,6520937,0.8595816956173681,0.3510314222618295
29,5604801,0.8710204485213402,0.5540639669950699
30,6417297,0.8901270445301945,0.3851223015908374
31,6043322,0.8595816956173681,0.32477208252982215
32,6056950,0.8625897195412513,0.3714341818401897
33,5844530,0.8901270445301945,0.6145635018588194
34,6469363,0.8328181818681102,0.5025593012729577
35,5991140,0.8625897195412513,0.4513156610370631
36,5596013,0.8901270445301945,0.24734024014652628
37,5292259,0.8576124173749686,0.46927271520146746
38,6045491,0.8625897195412513,0.5887450608922701
39,5804344,0.8901270445301945,0.300466858243386
40,5286629,0.8735685292435557,0.4220824095111797
41,5483059,0.8901270445301945,0.5203504466235302
42,5705485,0.8847034341435269,0.31138737730121696
43,5710876,0.8983178796273339,0.4911728761016988
44,6356135,0.8625897195412513,0.545443883479088
45,6795428,0.8734053230833386,0.5061071919371163
46,5934622,0.8625897195412513,0.5093158479795759
47,6850708,0.8729652620338911,0.5850259121247016
48,5754843,0.8625897195412513,0.5672542262049917
49,6565886,0.8766186995522018,0.29619173602639615
50,5986032,0.8901270445301945,0.32616418008507836
51,6416729,0.8731097920245496,0.4062384916413558
52,5671663,0.8901270445301945,0.521068647254822
53,5806232,0.8731097920245496,0.5652323160039486
54,6099546,0.8139369513569409,0.35764971542754104
55,5984112,0.8944302108685076,0.5442567456388268
56,6202764,0.8901270445301945,0.49465192708161465
57,5990849,0.8625897195412513,0.5393814908178169
58,5315094,0.8625897195412513,0.5516814003097531
59,5536926,0.8944302108685076,0.4736528425953463
60,6904037,0.8734053230833386,0.463588904869092
61,5775238,0.8731097920245496,0.5392005574734613
62,5789675,0.8944302108685076,0.48176868702691167
63,6046583,0.8625897195412513,0.4663885523484033
64,5769033,0.8944302108685076,0.5926693119875037
65,6161757,0.852017924491463,0.581684546137638
67,5530529,0.8607390321173822,0.46083153101698093
68,5107103,0.8607390321173822,0.4898669439228805
69,5968547,0.8365769989617657,0.3970279121589058
72,5109461,0.8625897195412513,0.5678738174843663
73,5418584,0.8944302108685076,0.4895600526334487
74,5290471,0.8731097920245496,0.22744919611430625
75,6371204,0.8625897195412513,0.5483681601494533
76,5226919,0.8901270445301945,0.6225571559336024
78,6337006,0.8901270445301945,0.3871370778258316
79,6490571,0.8642935784301251,0.5555041280493886
80,5145902,0.8731097920245496,0.33395815123237194
81,6575494,0.8944302108685076,0.5446766817713797
82,5945521,0.8625897195412513,0.19584452350672507
83,6190523,0.8625897195412513,0.3443995737260175
84,5165045,0.8983178796273339,0.565594994585659
85,5044940,0.8901270445301945,0.5903075708548867
86,5804633,0.8847034341435269,0.36501922616500987
88,5998774,0.8901270445301945,0.4919325504624499
89,6082996,0.8901270445301945,0.5486550658905777
90,6082273,0.8901270445301945,0.5699396437998866
91,6020564,0.8625897195412513,0.5179961000766401
