,scores_max,scores_avg
0,0.8538106257177833,0.43838041130172745
2,0.8808758364172001,0.5801846410057061
3,0.8808758364172001,0.6073218143117255
4,0.8538106257177833,0.5022555735310408
5,0.8808758364172001,0.46549370827825864
6,0.8808758364172001,0.326332623996219
7,0.8808758364172001,0.5501122465099226
8,0.8536812759029037,0.5085106302375242
9,0.7864454632312016,0.3882938505643482
10,0.8808758364172001,0.5720230483178614
11,0.8808758364172001,0.4804910400416505
12,0.8808758364172001,0.5577999816470992
13,0.9301691269165848,0.21644234706634852
14,0.8659921466384584,0.5169553844389562
15,0.8594121114187776,0.36468704508647387
16,0.8603523402680342,0.4953418389066044
17,0.8538106257177833,0.38901855421174564
18,0.8659921466384584,0.4612926849059747
19,0.8808758364172001,0.5595951953694145
20,0.8647868513050236,0.3762021630618878
21,0.8632944908566358,0.35539700585794
22,0.8659921466384584,0.40210256558614754
23,0.8538106257177833,0.5239754797696735
24,0.8808758364172001,0.5861195858335659
26,0.7837766480561368,0.2567818172257477
27,0.8914135117795341,0.5564904527406617
28,0.8536812759029037,0.3487409350601763
29,0.8808758364172001,0.2709732620224153
30,0.9023199539797933,0.49717344190034746
31,0.8808758364172001,0.41996406648512113
32,0.8538106257177833,0.4159216838816393
33,0.8302848528929967,0.4962954029749302
34,0.8538106257177833,0.38392234864343067
35,0.8813499598014378,0.4859936352788194
36,0.8603523402680342,0.4437478770065118
37,0.8914135117795341,0.48081696016618525
38,0.8538106257177833,0.5433609128182453
39,0.8914135117795341,0.5373881961481654
40,0.811107787901783,0.3528031565802576
41,0.8843300649306187,0.5036787229985701
42,0.8594121114187776,0.3990744487792965
43,0.8655391026169063,0.5616901042000532
44,0.8715806268489141,0.43493996505114574
45,0.7411873014829937,0.2980181554208043
46,0.8302848528929967,0.4448272445147824
47,0.8808758364172001,0.48568377157675674
48,0.8808758364172001,0.5080890341857551
49,0.8808758364172001,0.5437518454307975
50,0.8914135117795341,0.5341110297098363
51,0.8603523402680342,0.557684267590858
52,0.8808758364172001,0.559569899109794
53,0.8808758364172001,0.4490872859110612
54,0.9023199539797933,0.6312711368815601
55,0.8914135117795341,0.5287862854624554
56,0.8538106257177833,0.5385318476772829
58,0.8659921466384584,0.5137266528780295
59,0.8538106257177833,0.35766652060669063
60,0.8594121114187776,0.2475197055172979
61,0.8808758364172001,0.3719244126004136
62,0.8808758364172001,0.30193810221700296
63,0.8808758364172001,0.38309218703263115
64,0.8808758364172001,0.49749787315984434
65,0.8131490349942161,0.32847280277603225
66,0.8914135117795341,0.5442787955935168
67,0.8538106257177833,0.5190535249335082
68,0.8843300649306187,0.5047139734925912
69,0.8538106257177833,0.4651567174103452
70,0.7682348593912649,0.2502646542061448
71,0.8914135117795341,0.40530481438329996
72,0.811107787901783,0.5317398468322293
73,0.8655391026169063,0.44708815715948613
74,0.8538106257177833,0.4032816864761409
76,0.8538106257177833,0.5009435639187324
79,0.8538106257177833,0.4328191302500552
80,0.9113925910595937,0.45752709116125195
81,0.8655391026169063,0.2590130900863385
83,0.8655391026169063,0.5247253766950534
84,0.8538106257177833,0.4911209939946208
85,0.8538106257177833,0.27187860842719347
86,0.8655391026169063,0.5615167966357315
87,0.789209263862733,0.33280272237138614
88,0.7870097418811082,0.37541654480535197
89,0.8538106257177833,0.49773969201382573
90,0.8914135117795341,0.4886303352083249
92,0.8808758364172001,0.5542465253725115
93,0.8655391026169063,0.5085787558571886
94,0.8808758364172001,0.5569353863420422
95,0.8808758364172001,0.4809172384814333
96,0.8538106257177833,0.42177311987324545
97,0.8647868513050236,0.4271842987119452
98,0.8538106257177833,0.4542285654146169
99,0.8538106257177833,0.5522384371759002
100,0.8914135117795341,0.5464424328464428
101,0.8808758364172001,0.4575710582388402
102,0.8808758364172001,0.47662908277196847
103,0.8603523402680342,0.5034607101087356
104,0.8808758364172001,0.47333713978386555
105,0.8538106257177833,0.511036489150804
106,0.8808758364172001,0.5049503177349494
107,0.858117092963151,0.3852100012494532
109,0.8769509876600264,0.5183686323263763
110,0.8914135117795341,0.5567467005934923
111,0.8914135117795341,0.5260104302412663
113,0.8603523402680342,0.4550645889337598
114,0.8106102560105157,0.5328239883823143
116,0.8808758364172001,0.526601409818697
117,0.8236410487504866,0.4805163582150254
118,0.8808758364172001,0.56405974348167
119,0.8808758364172001,0.5777741284362872
120,0.8808758364172001,0.4579459276978195
121,0.8808758364172001,0.5718784098533122
122,0.8808758364172001,0.3834195881642326
123,0.8808758364172001,0.5344487902304608
125,0.8700554938072746,0.5311904263576113
