,0
disclose,242
say,863
explain,270
show,4221
close,157
open,162
note,292
state,77
claim,13
convey,123
read,1560
raise,79
turn,258
respond,46
stub,2
relate,416
repeat,139
cross,52
call,113
mention,155
split,14
object,22
signal,95
write,590
recite,2
observe,41
instruct,64
reel,17
pull,81
grind,15
wire,17
advise,12
assure,74
inquire,1
bite,20
point,51
scratch,4
fold,26
tell,6
relay,10
suggest,20
rub,4
reveal,7
admit,4
dictate,10
cut,68
purpose,3
demonstrate,10
wave,29
inform,17
beam,7
recommend,3
warn,8
teach,6
elaborate,3
alert,5
hang,10
propose,73
justify,2
flash,3
ask,3
cite,7
kick,2
speak,9
stretch,16
roll,21
break,58
cock,1
skin,1
pose,8
snap,3
bump,3
caution,1
talk,1
flush,5
report,6
remark,1
blow,2
sign,7
stamp,6
burn,13
declare,22
twist,5
flex,1
chatter,2
spin,1
acknowledge,4
fracture,1
intimate,1
radio,1
dwell,1
flap,2
encourage,1
quote,2
shake,1
bow,1
shrink,1
utter,1
nick,1
converse,1
